Field Name ,Question,Grouping,Max,
water_supply_6___0,Are there soap and/or disinfectant available for these wards? (click all that apply) (choice=Emergency Room),ER Hygiene,1,
water_supply_6___1,Are there soap and/or disinfectant available for these wards? (click all that apply) (choice=Outpatient Department),OPD Hygiene,1,
water_supply_6___2,Are there soap and/or disinfectant available for these wards? (click all that apply) (choice=Inpatient Ward),Ped Hygiene,1,
refrigeration_vaccines_1,Does this facility have a functioning refrigerator available for the storage of vaccines?,Refrigeration,1,
refrigeration_vaccines_4___0,Which of the following devices for monitoring refrigerator temperature are available and functioning in the refrigerator today? (choice=Thermometer),Refrigeration,1,Together
refrigeration_vaccines_4___1,Which of the following devices for monitoring refrigerator temperature are available and functioning in the refrigerator today? (choice=Continuous temperature recorder/logger),Refrigeration,,
refrigeration_vaccines_9,Has the temperature been out of the range 2C to 8C inclusive in the last 30 days?,Refrigeration,2,
refrigeration_blood_1,Does this facility have a refrigerator for the storage of blood?,Blood,2,This question has answers of 
refrigeration_blood_2,Is the temperature of the refrigerator monitored at least once every 24 hours?,Blood,2,
refrigeration_blood_4,Has the temperature been out of the range 2C to 6C inclusive in the last 30 days?,Blood,2,
refrigeration_alternative,Does the facility have ice packs and cold boxes?,Blood,1,
communication_2,Is there a functioning facility based telephone that is available to call outside at all times services are offered?,Communication,1,
communication_4,Is there a functioning facility based computer on site?,Communication,1,
communication_5,Is there access to email or internet within the facility most of the time?,Communication,1,
ambulance_transport_1,Is there a functional ambulance or other vehicle stationed at this facility for emergency transportation?,Transportation,1,
ambulance_transport_3,Is there accessible transportation for patients?,Transportation,1,
ambulance_transport_4,Is there currently fuel for the ambulance or other emergency vehicle available?,Transportation,1,
infection_hygiene_acc_1,Does this facility have any guidelines on standard precautions for infection prevention?,Hygiene,1,
toilet,Is there a toilet (latrine) in functioning condition that is accessible for patient and family use at the facility?,Hygiene,1,
medical_waste,Does the facility have established guidelines for medical waste disposal?,Hygiene,1,
medical_waste_2,Please briefly describe how medical waste is disposed and the frequency. ,Hygiene,,
sterilization,Does the facility have established procedures for equipment sterilization?,Hygiene,1,
infection_hygiene_acc_5,Are the facility toilets clean?,Hygiene,1,
infection_hygiene_acc_6,Is there water available in the toilet?,Hygiene,1,
infection_hygiene_acc_8,Are there mattresses for each patient at this facility?,Hygiene,1,
infection_hygiene_acc_9,Does each patient receive new bed linen?,Hygiene,1,
process_eqp_reuse_1,Electric autoclave (pressure & wet heat),Processing Equipment,2,
process_eqp_reuse_2,Non-electric autoclave,Processing Equipment,2,
process_eqp_reuse_3,Electric dry heat sterilizer,Processing Equipment,2,
process_eqp_reuse_4,Electric boiler or steamer (no pressure),Processing Equipment,2,
process_eqp_reuse_5,Non-electric pot with cover for boiling/steam,Processing Equipment,2,
process_eqp_reuse_6,Heat source for non-electric equipment,Processing Equipment,2,
number_doctors,Number of doctors employed by the facility?,Staff,,
number_nurses,Number of nurses employed by the facility? (full time or part time),Staff,,
number_pediatricians,Number of pediatricians employed by the facility? (Full time or part time),Staff,,
number_specialists,"Number of specialists employed by the facility? (Full time or part time) (eg. surgeons, cardiologists) ",Staff,,
number_midwives,Number of midwives employed by the facility? (Full time or part time),Staff,,
train_imci,Are over 80% of healthcare workers trained in IMCI?,Staff,,
gen_staff_1,Generalists,Staff,,
gen_staff_2,Specialists,Staff,,
gen_staff_3,Non-physician clinicians/paramedical professionals,Staff,,
gen_staff_4,Nursing professionals,Staff,,
gen_staff_5,Midwifery professionals,Staff,,
gen_staff_6,Pharmacists,Staff,,
gen_staff_7,Laboratory technicians (medical + pathology),Staff,,
gen_staff_8,Community health workers,Staff,,
training_etat,Does your health facility use IMCI or ETAT?,Staff,,
er_equip_1,Thermometer,ER Equipment,2,
er_equip_2,Weighing machine/scales for children,ER Equipment,2,
er_equip_3,Measuring board/ruler to measure length and height (lying/standing according to age),ER Equipment,2,
er_equip_4,Height measuring scale/ruler,ER Equipment,2,
er_equip_5,Blood pressure machine with multiple size cuffs,ER Equipment,2,
er_equip_6,Pulse oximeter,ER Equipment,2,
er_equip_8,Pediatric stethoscope,ER Equipment,2,
er_equip_10,Ophthalmoscope,ER Equipment,2,
er_equip_9,Otoscope,ER Equipment,2,
er_equip_11,Examination light,ER Equipment,2,
er_equip_12,Tongue depressor,ER Equipment,2,
er_equip_13,"Supplies for taking blood, making blood smears",ER Equipment,2,
er_equip_14,Tubes to take blood,ER Equipment,2,
er_equip_16,O2 equipment,ER Equipment,2,
er_equip_17,Oxygen source,ER Equipment,2,
er_equip_18,Oxygen cylinder,ER Equipment,2,
er_equip_19,Oxygen concentrator,ER Equipment,2,
er_equip_20,Central supply,ER Equipment,2,
er_equip_21,Flow meters for oxygen,ER Equipment,2,
er_equip_22,Nasal prongs,ER Equipment,2,
er_equip_24,Masks: Infant size,ER Equipment,2,
er_equip_25,Masks: Child size,ER Equipment,2,
er_equip_26,Masks: Adult size,ER Equipment,2,
er_equip_27,Self-inflating resuscitation bags with masks of different sizes,ER Equipment,2,
er_equip_28,Nebulizers: Electricity driven,ER Equipment,2,
er_equip_30,Nebulizers: O2 driven,ER Equipment,2,
er_equip_31,Nebulizers: Foot pump driven,ER Equipment,2,
er_equip_32,Spacers with masks for administration of metered doses,ER Equipment,2,
er_equip_33,I.V. giving sets with chambers for paediatric use,ER Equipment,2,
er_equip_34,Paediatric burettes,ER Equipment,2,
er_equip_35,Equipment for intra-osseous fluid administration,ER Equipment,2,
er_equip_36,Butterflies and/or cannulas of paediatric size,ER Equipment,2,
er_equip_37,Blood collection/transfusion kits,ER Equipment,2,
er_equip_38,Lumbar puncture needles,ER Equipment,2,
er_equip_39,Infusion pump,ER Equipment,2,
er_equip_40,Catheters,ER Equipment,2,
er_equip_41,Butterfly needle of different sizes,ER Equipment,2,
er_equip_42,Chest tubes,ER Equipment,2,
er_equip_43,Suction equipment,ER Equipment,2,
er_equip_44,Nasogastric tube - pediatric size,ER Equipment,2,
er_equip_45,Heater/warmer,ER Equipment,2,
er_equip_46,"Supplies to mix ORS, cups, spoons",ER Equipment,2,
er_equip_47,Blankets to prevent hypothermia,ER Equipment,2,
er_equip_48,Micropore/adhesive tape,ER Equipment,2,
er_equip_50,Stretcher and patient trolley available for patients,ER Equipment,2,
er_equip_51,Wheelchair,ER Equipment,2,
er_equip_53,Designated table/area for resuscitation,ER Equipment,2,
er_equip_54,Room thermometer,ER Equipment,2,
er_equip_55,Working watch/timing device available to every health worker managing children,ER Equipment,2,
er_equip_56,Torch,ER Equipment,2,
er_equip_57,Child vaccination cards,ER Equipment,2,
er_equip_58,Mother's counselling cards,ER Equipment,2,
er_equip_59,IMCI chart booklet,ER Equipment,2,
er_equip_60,Stock cards/drug log book,ER Equipment,2,
er_equip_62,Skin disinfectant,ER Equipment,2,
er_equip_63,Gowns,ER Equipment,2,
er_equip_64,"Eye protection (googles, face shields)",ER Equipment,2,
er_equip_65,Medical (surgical or procedural) masks,ER Equipment,2,
er_equip_66,Auto-disposable syringes,ER Equipment,2,
er_equip_67,Disposable syringes with disposable needles,ER Equipment,2,
er_equip_68,Absorbable suture material,ER Equipment,2,
er_equip_69,Non-absorbable suture material,ER Equipment,2,
er_equip_70,Ketamine (injection),ER Equipment,2,
er_equip_71,Lidocaine 1% or 2%,ER Equipment,2,
pd_warde_2___0,"Anesthetics, preoperative medicines, medical gases (choice=Emergency Room)",ER Medication,1,
pd_warde_2___1,"Anesthetics, preoperative medicines, medical gases (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_2___2,"Anesthetics, preoperative medicines, medical gases (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_2___3,"Anesthetics, preoperative medicines, medical gases (choice=Supply Room)",Supply Medication,1,
pd_warde_7___0,Oxygen (choice=Emergency Room),ER Medication,1,
pd_warde_7___1,Oxygen (choice=Inpatient Ward),Ped Medication,1,
pd_warde_7___2,Oxygen (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_7___3,Oxygen (choice=Supply Room),Supply Medication,1,
pd_warde_12___0,Local anesthetics (choice=Emergency Room),ER Medication,1,
pd_warde_12___1,Local anesthetics (choice=Inpatient Ward),Ped Medication,1,
pd_warde_12___2,Local anesthetics (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_12___3,Local anesthetics (choice=Supply Room),Supply Medication,1,
pd_warde_16___0,Pre-operative medication and sedation (choice=Emergency Room),ER Medication,1,
pd_warde_16___1,Pre-operative medication and sedation (choice=Inpatient Ward),Ped Medication,1,
pd_warde_16___2,Pre-operative medication and sedation (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_16___3,Pre-operative medication and sedation (choice=Supply Room),Supply Medication,1,
pd_warde_17___0,Atropine (choice=Emergency Room),ER Medication,1,
pd_warde_17___1,Atropine (choice=Inpatient Ward),Ped Medication,1,
pd_warde_17___2,Atropine (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_17___3,Atropine (choice=Supply Room),Supply Medication,1,
pd_warde_18___0,Midazolam (choice=Emergency Room),ER Medication,1,
pd_warde_18___1,Midazolam (choice=Inpatient Ward),Ped Medication,1,
pd_warde_18___2,Midazolam (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_18___3,Midazolam (choice=Supply Room),Supply Medication,1,
pd_warde_20___0,Morphine (choice=Emergency Room),ER Medication,1,
pd_warde_20___1,Morphine (choice=Inpatient Ward),Ped Medication,1,
pd_warde_20___2,Morphine (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_20___3,Morphine (choice=Supply Room),Supply Medication,1,
pd_warde_21___0,O2 (choice=Emergency Room),ER Medication,1,
pd_warde_21___1,O2 (choice=Inpatient Ward),Ped Medication,1,
pd_warde_21___2,O2 (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_21___3,O2 (choice=Supply Room),Supply Medication,1,
pd_warde_23___0,Non-opioids and NSAIDS (choice=Emergency Room),ER Medication,1,
pd_warde_23___1,Non-opioids and NSAIDS (choice=Inpatient Ward),Ped Medication,1,
pd_warde_23___2,Non-opioids and NSAIDS (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_23___3,Non-opioids and NSAIDS (choice=Supply Room),Supply Medication,1,
pd_wardm_3___0,Aspirin (tablet) (choice=Emergency Room),ER Medication,1,
pd_wardm_3___1,Aspirin (tablet) (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_3___2,Aspirin (tablet) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_3___3,Aspirin (tablet) (choice=Supply Room),Supply Medication,1,
pd_warde_24___0,"Ibuprofen (oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_24___1,"Ibuprofen (oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_24___2,"Ibuprofen (oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_24___3,"Ibuprofen (oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_25___0,"Paracetamol (oral liquid, tablet, suppository) (choice=Emergency Room)",ER Medication,1,
pd_warde_25___1,"Paracetamol (oral liquid, tablet, suppository) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_25___2,"Paracetamol (oral liquid, tablet, suppository) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_25___3,"Paracetamol (oral liquid, tablet, suppository) (choice=Supply Room)",Supply Medication,1,
pd_warde_26___0,Opioids (choice=Emergency Room),ER Medication,1,
pd_warde_26___1,Opioids (choice=Inpatient Ward),Ped Medication,1,
pd_warde_26___2,Opioids (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_26___3,Opioids (choice=Supply Room),Supply Medication,1,
pd_warde_27___0,"Morphine (granules, injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_27___1,"Morphine (granules, injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_27___2,"Morphine (granules, injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_27___3,"Morphine (granules, injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_200___0,Dexamethasone (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_200___1,Dexamethasone (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_200___2,Dexamethasone (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_200___3,Dexamethasone (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_201___0,Epinephrine(injection) (choice=Emergency Room),ER Medication,1,
pd_warde_201___1,Epinephrine(injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_201___2,Epinephrine(injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_201___3,Epinephrine(injection) (choice=Supply Room),Supply Medication,1,
pd_warde_47___0,Anti-convulsants (choice=Emergency Room),ER Medication,1,
pd_warde_47___1,Anti-convulsants (choice=Inpatient Ward),Ped Medication,1,
pd_warde_47___2,Anti-convulsants (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_47___3,Anti-convulsants (choice=Supply Room),Supply Medication,1,
pd_warde_48___0,"Carbamazepine (oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_48___1,"Carbamazepine (oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_48___2,"Carbamazepine (oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_48___3,"Carbamazepine (oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_49___0,Diazepam (gel or rectal solution) (choice=Emergency Room),ER Medication,1,
pd_warde_49___1,Diazepam (gel or rectal solution) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_49___2,Diazepam (gel or rectal solution) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_49___3,Diazepam (gel or rectal solution) (choice=Supply Room),Supply Medication,1,
pd_warde_56___0,Anti-infective medicines (choice=Emergency Room),ER Medication,1,
pd_warde_56___1,Anti-infective medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_56___2,Anti-infective medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_56___3,Anti-infective medicines (choice=Supply Room),Supply Medication,1,
pd_warde_57___0,Anti-helminthics (choice=Emergency Room),ER Medication,1,
pd_warde_57___1,Anti-helminthics (choice=Inpatient Ward),Ped Medication,1,
pd_warde_57___2,Anti-helminthics (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_57___3,Anti-helminthics (choice=Supply Room),Supply Medication,1,
pd_warde_72___0,Anti-bacterials (choice=Emergency Room),ER Medication,1,
pd_warde_72___1,Anti-bacterials (choice=Inpatient Ward),Ped Medication,1,
pd_warde_72___2,Anti-bacterials (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_72___3,Anti-bacterials (choice=Supply Room),Supply Medication,1,
pd_warde_73___0,Beta-lactams (choice=Emergency Room),ER Medication,1,
pd_warde_73___1,Beta-lactams (choice=Inpatient Ward),Ped Medication,1,
pd_warde_73___2,Beta-lactams (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_73___3,Beta-lactams (choice=Supply Room),Supply Medication,1,
pd_warde_74___0,"Amoxicillin (tablet, oral liquid, injection) (choice=Emergency Room)",ER Medication,1,
pd_warde_74___1,"Amoxicillin (tablet, oral liquid, injection) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_74___2,"Amoxicillin (tablet, oral liquid, injection) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_74___3,"Amoxicillin (tablet, oral liquid, injection) (choice=Supply Room)",Supply Medication,1,
pd_warde_75___0,"Amoxicillin + clavulanic acid (oral liquid, tablet, injection) (choice=Emergency Room)",ER Medication,1,
pd_warde_75___1,"Amoxicillin + clavulanic acid (oral liquid, tablet, injection) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_75___2,"Amoxicillin + clavulanic acid (oral liquid, tablet, injection) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_75___3,"Amoxicillin + clavulanic acid (oral liquid, tablet, injection) (choice=Supply Room)",Supply Medication,1,
pd_warde_76___0,Ampicillin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_76___1,Ampicillin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_76___2,Ampicillin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_76___3,Ampicillin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_77___0,Benzathine benzylpencillin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_77___1,Benzathine benzylpencillin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_77___2,Benzathine benzylpencillin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_77___3,Benzathine benzylpencillin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_78___0,Benzylpencillin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_78___1,Benzylpencillin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_78___2,Benzylpencillin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_78___3,Benzylpencillin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_79___0,Cefalexin (choice=Emergency Room),ER Medication,1,
pd_warde_79___1,Cefalexin (choice=Inpatient Ward),Ped Medication,1,
pd_warde_79___2,Cefalexin (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_79___3,Cefalexin (choice=Supply Room),Supply Medication,1,
pd_warde_80___0,Cefazolin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_80___1,Cefazolin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_80___2,Cefazolin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_80___3,Cefazolin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_81___0,"Cefixime (tablet, oral liquid) (choice=Emergency Room)",ER Medication,1,
pd_warde_81___1,"Cefixime (tablet, oral liquid) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_81___2,"Cefixime (tablet, oral liquid) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_81___3,"Cefixime (tablet, oral liquid) (choice=Supply Room)",Supply Medication,1,
pd_warde_82___0,Cefotaxime (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_82___1,Cefotaxime (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_82___2,Cefotaxime (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_82___3,Cefotaxime (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_83___0,Ceftriazone (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_83___1,Ceftriazone (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_83___2,Ceftriazone (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_83___3,Ceftriazone (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_84___0,"Cloxacillin (tablet, injection, oral liquid) (choice=Emergency Room)",ER Medication,1,
pd_warde_84___1,"Cloxacillin (tablet, injection, oral liquid) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_84___2,"Cloxacillin (tablet, injection, oral liquid) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_84___3,"Cloxacillin (tablet, injection, oral liquid) (choice=Supply Room)",Supply Medication,1,
pd_wardm_6___0,Flucloxacillin (choice=Emergency Room),ER Medication,1,
pd_wardm_6___1,Flucloxacillin (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_6___2,Flucloxacillin (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_6___3,Flucloxacillin (choice=Supply Room),Supply Medication,1,
pd_wardm_4___0,Penicillin (injection) (choice=Emergency Room),ER Medication,1,
pd_wardm_4___1,Penicillin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_4___2,Penicillin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_4___3,Penicillin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_85___0,"Phenoxymethylpenicillin (oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_85___1,"Phenoxymethylpenicillin (oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_85___2,"Phenoxymethylpenicillin (oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_85___3,"Phenoxymethylpenicillin (oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_86___0,Piperacillin + tazobactam (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_86___1,Piperacillin + tazobactam (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_86___2,Piperacillin + tazobactam (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_86___3,Piperacillin + tazobactam (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_87___0,Procaine benzyl pencillin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_87___1,Procaine benzyl pencillin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_87___2,Procaine benzyl pencillin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_87___3,Procaine benzyl pencillin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_88___0,Other anti-bacterials (choice=Emergency Room),ER Medication,1,
pd_warde_88___1,Other anti-bacterials (choice=Inpatient Ward),Ped Medication,1,
pd_warde_88___2,Other anti-bacterials (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_88___3,Other anti-bacterials (choice=Supply Room),Supply Medication,1,
